#{"t_start": 1715349459.893439, "env_id": "None"}
r,l,t
4.9972,35,11.7171
-1.5033016,37,12.247219
-0.033100605,38,12.537285
1.9969983,38,12.537285
0.9470997,39,12.80685
-0.013301849,39,12.80685
-1.0031018,41,13.356976
3.4770012,42,13.641039
-15.00628,61,18.876724
-4.003001,66,21.705868
-1.0381021,36,24.254946
5.9824,37,25.089974
4.9874997,41,25.659102
1.9919987,54,30.073699
3.4572015,66,33.721026
-3.0532026,72,35.369398
3.9975014,51,35.91252
4.8673,40,36.743707
3.9522011,42,38.702147
-4.0481033,71,44.247409
0.98729897,42,44.541476
1.9973984,41,46.491914
-20.007273,73,48.134284
4.9874,47,50.335781
4.9975,41,52.859348
-14.015283,53,54.243203
-0.06820154,42,57.276925
-3.002802,42,57.569991
5.9825,70,57.569991
4.9974,39,58.681241
5.9824,40,60.600689
3.9925017,40,65.312565
4.9874997,39,66.418319
5.9422,52,67.514567
2.9874015,41,70.28519
2.9670012,45,72.807269
2.872201,54,75.019767
3.9824011,43,78.642088
3.9972017,51,83.42142
4.9722996,48,83.701482
5.9974,78,84.536671
4.9874,73,85.0928
-16.521675,67,91.705657
4.4367,43,93.434549
5.9974,77,97.067367
0.9817982,51,99.30687
5.9972,89,104.065207
4.9874,42,106.578398
3.9873016,74,106.865463
5.9974,75,108.262779
0.99739933,74,108.544678
2.9974017,47,111.644246
2.9973016,42,112.480687
-0.5635004,41,116.918191
3.9825013,77,117.473315
4.9925,39,118.868134
5.9923,41,119.713325
-1.0027018,40,125.588152
-1.1027994,40,126.456855
4.9417996,58,127.585215
-1.0328012,41,130.347402
5.9823,44,132.5289
3.926501,79,133.089478
4.9869,43,133.089478
2.9872015,41,139.220287
3.9820013,48,140.334537
1.9617996,41,140.334537
4.9874,81,142.263505
4.9721,39,142.537567
3.9974015,41,146.763527
5.977,39,146.763527
5.9925,41,147.328654
