#{"t_start": 1715009764.0516238, "env_id": "None"}
r,l,t
-0.5003,1,0.348078
-0.0003,1,0.348078
-0.0003,1,0.348078
-0.5003,1,0.348078
-1.0003,1,0.348078
-1.0003,1,0.348078
-0.5003,1,0.348078
-0.0003,1,0.348078
-1.0003,1,0.348078
-0.0003,1,0.348078
5.9989,11,0.782175
5.9987,13,0.868195
5.9986,14,0.907204
5.9985,15,0.949213
5.9983,17,1.02623
5.9982,18,1.07024
5.4982,18,1.07024
0.9981996,18,1.07024
5.9982,18,1.07024
5.9987,13,1.316801
5.9983,17,1.601865
4.4983,17,1.968948
4.4981,19,2.057968
1.4980985,19,2.057968
5.9984,16,2.182996
-1.0024017,24,2.229007
5.9989,11,2.444056
5.9987,13,2.612093
5.9978,22,2.739122
5.9987,13,2.739122
5.999,10,3.025186
-22.506275,63,3.152215
5.9989,11,3.389268
5.998,20,3.473287
-19.005676,57,3.638324
-17.00617,62,3.914386
