#{"t_start": 1715009726.0661194, "env_id": "None"}
r,l,t
-0.0003,1,1.191201
-0.0003,1,1.191201
-0.0003,1,1.191201
-0.0003,1,1.191201
-0.0003,1,1.191201
-0.0003,1,1.191201
-0.0003,1,1.191201
-0.0003,1,1.191201
-0.0003,1,1.191201
-0.0003,1,1.191201
5.9996,4,1.36224
5.9996,4,1.36224
5.9995,5,1.409251
5.9993,7,1.49627
5.9996,4,1.53828
5.9996,4,1.581289
5.999,10,1.783335
5.9986,14,1.783335
5.9988,12,2.017388
5.9992,8,2.098406
5.9991,9,2.455486
5.9994,6,2.905588
5.9987,13,3.388696
5.9994,6,3.609746
-62.00976,98,5.515175
-70.00976,98,5.515175
-65.509766,98,5.515175
-40.009754,98,5.515175
-41.00976,98,5.515175
5.9995,5,5.696216
5.9992,8,5.808241
-52.009964,100,5.853251
5.9995,5,5.89226
5.9997,3,5.930269
-77.50996,100,5.930269
5.9997,3,6.005285
5.9986,14,6.050296
5.9986,14,6.050296
5.9985,15,6.095305
5.9995,5,6.136315
-83.00996,100,6.136315
5.9996,4,6.288349
-43.00997,100,6.365367
5.9991,9,6.365367
5.9986,14,6.406376
5.9991,9,6.452386
5.9996,4,6.452386
5.9989,11,6.494396
5.9996,4,6.536405
5.9996,4,6.613422
5.9995,5,6.613422
5.9995,5,6.662434
5.9997,3,6.662434
5.9984,16,6.918491
5.9997,3,6.962501
5.9991,9,6.962501
5.9996,4,7.00451
5.9996,4,7.057523
5.9983,17,7.057523
5.9996,4,7.143542
5.9995,5,7.190552
5.9989,11,7.191552
5.9996,4,7.191552
5.9996,4,7.234563
5.9992,8,7.234563
5.9996,4,7.31458
5.9996,4,7.35659
5.9993,7,7.35659
5.9995,5,7.399599
5.9989,11,7.399599
5.9995,5,7.44761
5.9995,5,7.53663
5.9997,3,7.53663
5.9992,8,7.53663
5.9992,8,7.579639
5.9995,5,7.579639
-4.508809,88,7.62165
5.9995,5,7.62165
5.9996,4,7.62165
5.9996,4,7.739676
5.9995,5,7.739676
5.9997,3,7.739676
5.9997,3,7.739676
5.9993,7,7.815694
5.9993,7,7.860703
5.9996,4,7.904713
5.9996,4,7.905713
5.9995,5,7.946723
5.9997,3,7.946723
5.9989,11,7.988732
5.9991,9,7.988732
5.9997,3,8.030741
5.9996,4,8.030741
5.9992,8,8.077752
5.9982,18,8.124763
5.9995,5,8.171773
5.9996,4,8.213783
5.9996,4,8.213783
5.9994,6,8.257793
5.9995,5,8.47184
5.9996,4,8.47184
5.9996,4,8.51185
5.9997,3,8.51185
5.9991,9,8.51185
5.9996,4,8.586866
5.9995,5,8.586866
5.9988,12,8.586866
5.9997,3,8.627876
5.9996,4,8.627876
5.9997,3,8.627876
5.9988,12,8.667885
5.9994,6,8.707894
5.9997,3,8.707894
5.9996,4,8.747902
5.9996,4,8.747902
5.9997,3,8.747902
5.9993,7,8.787912
5.9996,4,8.787912
5.9996,4,8.787912
5.9997,3,8.828921
5.9997,3,8.874931
5.9996,4,8.914941
5.9996,4,8.953949
5.9996,4,8.953949
5.9996,4,8.991958
5.9996,4,9.028966
5.9992,8,9.073976
5.999,10,9.112985
5.9995,5,9.112985
5.9991,9,9.149993
5.9995,5,9.149993
5.9996,4,9.190002
5.9995,5,9.265019
5.9996,4,9.265019
5.9991,9,9.306029
5.9996,4,9.347039
5.9995,5,9.347039
5.9994,6,9.384046
5.9992,8,9.423059
5.9997,3,9.423059
5.9997,3,9.465064
5.9995,5,9.465064
5.9987,13,9.507074
5.9997,3,9.507074
