#{"t_start": 1715009739.071981, "env_id": "None"}
r,l,t
-0.5003,1,0.340895
-1.5003,1,0.340895
-0.0003,1,0.340895
-0.0003,1,0.340895
-1.0003,1,0.340895
-1.0003,1,0.340895
-1.5003,1,0.340895
-1.0003,1,0.340895
-0.0003,1,0.340895
-0.5003,1,0.340895
5.9972,28,1.383356
5.9969,31,1.497382
5.9969,31,1.497382
5.9958,42,2.072512
5.9957,43,2.11252
4.9953995,46,2.223546
5.9973,27,2.550619
5.9941,59,2.699653
5.9979,21,3.064735
5.9975,25,3.957936
5.9964,36,4.035954
-2.0064046,64,4.180986
-3.506603,66,4.450047
-0.004905088,49,4.868141
5.4971995,28,5.283234
-29.01223,123,5.43927
-3.504604,46,6.105055
5.9956,44,6.260089
-89.514725,148,6.598169
-55.514736,148,6.598169
-0.00580631,58,6.854227
-15.511174,112,6.964252
5.9964,36,7.00326
5.9973,27,7.427356
3.494003,60,7.501373
1.9964968,35,7.576389
-1.5051054,51,7.576389
5.9974,26,7.725424
5.9971,29,7.837448
5.9975,25,7.947473
5.998,20,8.251542
-48.514908,150,8.589618
5.9999,1,8.631627
5.9965,35,8.631627
2.9968028,32,8.81967
5.4971995,28,8.820671
1.4955956,44,9.007712
5.9976,24,9.053722
5.996,40,9.438809
5.997,30,9.598847
5.9951,49,9.644855
-1.505103,51,10.201981
5.9982,18,10.361017
5.9969,31,10.483045
2.4962034,38,10.527054
5.9986,14,10.765108
1.995195,48,10.924144
1.9944941,55,11.002161
5.997,30,11.002161
5.998,20,11.263724
5.9984,16,11.562791
5.9984,16,11.795844
2.9966028,34,11.91087
5.998,20,11.91087
-1.0067037,67,12.114253
0.99639666,36,12.196272
3.4970026,30,12.437325
5.9978,22,12.517343
5.9982,18,12.673378
5.9966,34,13.062466
4.4970994,29,13.290517
5.9969,31,13.290517
