#{"t_start": 1715009836.93674, "env_id": "None"}
r,l,t
-0.0003,1,0.391087
-0.0003,1,0.391087
-0.0003,1,0.391087
-0.0003,1,0.391087
-0.0003,1,0.391087
-0.0003,1,0.391087
-0.0003,1,0.391087
-0.0003,1,0.391087
-0.0003,1,0.391087
-0.0003,1,0.391087
16.48409,159,10.596918
12.483692,163,11.00601
14.983491,165,11.124037
12.4835,165,11.124037
14.983294,167,11.245064
14.483291,167,11.245064
11.982992,170,11.421103
11.482996,170,11.421103
12.982991,170,11.421103
11.4824,176,11.784186
8.983606,164,21.731331
13.483691,163,21.795346
14.983394,166,22.105416
13.483094,169,22.171431
16.983091,169,22.295459
16.48329,167,22.358473
14.983291,167,22.358473
15.483492,165,22.605529
13.982889,171,22.605529
15.981186,188,22.960608
10.983903,161,32.244426
15.983191,168,32.757542
13.483495,165,32.950585
14.4832945,167,33.0186
15.983592,164,33.085616
15.483191,168,33.274658
